Image Identifier,Path,Filename,Marker,"Size category (Small, Medium, Large)",age (3 or 4 days),cotyledon width value (um),"stretch time point (t0, t5, no stretch)",Successfully stretched for 7h with all intermediate pictures available?,Control t0+t5,midline angle,number of brx cells in ROI set,"author that collected the image (WB, JC, or MY)",Flipped_t0,Flipped_channels,Replicate,Scale,Any extra notes?,
MAX_ref-1 L,Brx/unstretched_untracked/ds1,ref-1L,brxl,M,4,659,no stretch,,,79.982,,MY,0,,,,,"Note for throughout: t5s have only been included if we have shown that the stretch was held for the full 7 hours - in cases where we have not shown that the stretch was held for 7 hours I have not included the t5s, only the t0s"
MAX_ref-1 R,Brx/unstretched_untracked/ds1,ref-1R,brxl,M,4,650,no stretch,,,180,,MY,0,,,,,
MAX_ref-1 t0,Brx/unstretched_not_glued_tracked,ref-1-t0,brxl,M,4,704,no stretch,,t0,-153,,MY,0,,,,,William's Code
MAX_ref-2  t0,Brx/unstretched_not_glued_tracked,ref-2-t0,brxl,M,4,624,no stretch,,t0,44,,MY,0,,,,,t0 = image at 20x under cover slip before glue and stretch
MAX_ref-2L,Brx/unstretched_untracked/ds1,ref-2L,brxl,M,4,590,no stretch,,,-52.374,,MY,0,,,,,t1 = 10x glued before stretch
MAX_ref-2R,Brx/unstretched_untracked/ds1,ref-2R,brxl,M,4,665,no stretch,,,-160.31,,MY,0,,,,,t2 = 10x glued immediately after stretch
MAX_ref-3 t0,Brx/unstretched_not_glued_tracked,ref-3-t0,brxl,M,4,765,no stretch,,t0,35,,MY,0,,,,,t3 = 10x glued 7h after stretch
MAX_ref-3L,Brx/unstretched_untracked/ds1,ref-3L,brxl,M,4,730,no stretch,,,-28.839,,MY,0,,,,,t4 = 10x glued still on rig stretch released
MAX_ref-4L,Brx/unstretched_untracked/ds1,ref-4L,brxl,M,4,683,no stretch,,,-48.162,,MY,0,,,,,t5 = 20x under cover slip 
MAX_ref-4R,Brx/unstretched_untracked/ds1,ref-4R,brxl,M,4,664,no stretch,,,40.363,,MY,0,,,,,
MAX_ref-5L,Brx/unstretched_untracked/ds1,ref-5L,brxl,M,4,583,no stretch,,,-39,,MY,0,,,,,
MAX_ref-5R,Brx/unstretched_untracked/ds1,ref-5R,brxl,M,4,662,no stretch,,,-123.371,,MY,0,,,,,
ref-1 t7,Brx/unstretched_not_glued_tracked,ref-1-t7,brxl,,4,,no stretch,,t5,81,,MY,0,,,,,
ref-2 t7,Brx/unstretched_not_glued_tracked,ref-2-t7,brxl,,4,699,no stretch,,t5,-80,,MY,0,,,,,
ref-3 t7,Brx/unstretched_not_glued_tracked,ref-3-t7,brxl,,4,,no stretch,,t5,-53,,MY,0,,,,,
sp8_brx_brx_jul05_btm_01,Brx/unstretched_untracked/ds2,sp8_brx_brx_jul05_btm_001,brxl,M,4,667,no stretch,,,140.17,94,WB,,,man,,,
sp8_brx_brx_jul05_btm_04,Brx/unstretched_untracked/ds2,sp8_brx_brx_jul05_btm_004,brxl,M,4,659,no stretch,,,4.3,101,WB,,,man,,,
sp8_brx_brx_jul05_btm_05,Brx/unstretched_untracked/ds2,sp8_brx_brx_jul05_btm_005,brxl,M,4,608,no stretch,,,-109,77,WB,,,man,,,
sp8_brx_brx_jul05_btm_06,Brx/unstretched_untracked/ds2,sp8_brx_brx_jul05_btm_006,brxl,M,4,565,no stretch,,,-175.4,49,WB,,,man,,,
sp8_brx_brx_jul05_btm_07,Brx/unstretched_untracked/ds2,sp8_brx_brx_jul05_btm_007,brxl,M,4,656,no stretch,,,76.3,81,WB,,,man,,,
sp8_brx_brx_jul05_btm_08,Brx/unstretched_untracked/ds2,sp8_brx_brx_jul05_btm_008,brxl,M,4,675,no stretch,,,-77,101,WB,,,man,,,
sp8_brx_brx_jul05_btm_10,Brx/unstretched_untracked/ds2,sp8_brx_brx_jul05_btm_010,brxl,M,4,742,no stretch,,,,,WB,,,,,,
sp8_brx_brx_jul05_btm_11,Brx/unstretched_untracked/ds2,sp8_brx_brx_jul05_btm_011,brxl,M,4,674,no stretch,,,,,WB,,,,,,
sp8_brx_brx_jul14_btm_01,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_01,brxl,S,3,506,no stretch,,,148.85,91,WB,,,man,,,
sp8_brx_brx_jul14_btm_02,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_02,brxl,S,3,507,no stretch,,,-95.8,70,WB,,,man,,,
sp8_brx_brx_jul14_btm_03,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_03,brxl,S,3,412,no stretch,,,-168,33,WB,,,man,,,
sp8_brx_brx_jul14_btm_04,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_04,brxl,S,3,370,no stretch,,,125,36,WB,,,,,,
sp8_brx_brx_jul14_btm_05,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_05,brxl,S,3,405,no stretch,,,-177.5,24,WB,,,man,,,
sp8_brx_brx_jul14_btm_06,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_06,brxl,S,3,491,no stretch,,,-179.3,66,WB,,,man,,,
sp8_brx_brx_jul14_btm_07,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_07,brxl,S,3,467,no stretch,,,53.24,55,WB,,,man,,,
sp8_brx_brx_jul14_btm_08,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_08,brxl,S,3,502,no stretch,,,143.57,39,WB,,,man,,,
sp8_brx_brx_jul14_btm_09,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_09,brxl,S,3,522,no stretch,,,8.18,73,WB,,,man,,,
sp8_brx_brx_jul14_btm_10,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_10,brxl,S/M,3,561,no stretch,,,-93.85,56,WB,,,man,,,
sp8_brx_brx_jul14_btm_11,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_11,brxl,S/M,3,565,no stretch,,,54.08,82,WB,,,man,,,
sp8_brx_brx_jul14_btm_12,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_12,brxl,S/M,3,575,no stretch,,,-129.25,50,WB,,,man,,,
sp8_brx_brx_jul14_btm_13,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_13,brxl,S/M,3,558,no stretch,,,37.86,84,WB,,,man,,,
sp8_brx_brx_jul14_btm_14,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_14,brxl,S/M,3,591,no stretch,,,-89.9,91,WB,,,man,,,
sp8_brx_brx_jul14_btm_15,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_15,brxl,S/M,3,582,no stretch,,,71.8,111,WB,,,man,,,
sp8_brx_brx_jul14_btm_18,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_18,brxl,S,3,550,no stretch,,,-45.3,91,WB,,,man,,,
sp8_brx_brx_jul14_btm_19,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_19,brxl,S,3,470,no stretch,,,-41.63,73,WB,,,man,,,
sp8_brx_brx_jul14_btm_22,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_22,brxl,S,3,424,no stretch,,,108.24,88,WB,,,,,,
sp8_brx_brx_jul14_btm_23,Brx/unstretched_untracked/ds2,brxbrx_bot_14jul_23,brxl,S,3,438,no stretch,,,40.63,77,WB,,,,,,
brxbrx_jul26_bot_05,Brx/unstretched_untracked/ds2,brxbrx_jul26_bot_05,brxl,S,3,485,no stretch,,,-141.4,84,WB,,,man,,,
brxbrx_jul26_bot_06,Brx/unstretched_untracked/ds2,brxbrx_jul26_bot_06,brxl,S,3,476,no stretch,,,74.4,75,WB,,,,,,
